Frequency_Hz,Difference_dB,Sensitivity_mps2_per_V,Coherence
1.525878906250000000e-02,2.883453825800779668e+01,2.765202322021665182e+01,7.223297078181169228e-02
3.051757812500000000e-02,4.031180323416151623e+01,1.036549775016222554e+02,1.929298448333644639e-02
4.572470327382453098e-02,3.312635240878340426e+01,4.532289268331557253e+01,4.410633838833588616e-02
6.103515625000000000e-02,2.935201615477267012e+01,2.934950680941147638e+01,6.806522800118987304e-02
7.689947814299766260e-02,3.695589175760362366e+01,7.043598428357812224e+01,2.838885514981566091e-02
9.144940654764906196e-02,3.857013334664205217e+01,8.482164042550924421e+01,2.357561167829786558e-02
1.087522849292406890e-01,2.981216329669268816e+01,3.094625963109595901e+01,6.456075151306460425e-02
1.220703125000000000e-01,3.116428257564886906e+01,3.615880996155382832e+01,5.526928256442712600e-02
1.370192930065152193e-01,3.411930727599693114e+01,5.081189170391429144e+01,3.934562548241683083e-02
1.537989562859953252e-01,3.464405771819038193e+01,5.397627202954563330e+01,3.704060480827522234e-02
1.726334915006219606e-01,2.661275519165555181e+01,2.141103984019687800e+01,9.320644019251482504e-02
1.828988130952981239e-01,3.141991188044077887e+01,3.723879283080466251e+01,5.366873206534322760e-02
2.052969763803013936e-01,4.155093022943862024e+01,1.195491551924752542e+02,1.672834967404338360e-02
2.175045698584813780e-01,2.487025371669392371e+01,1.751913607232310000e+01,1.137901321313393860e-01
2.304380646195539617e-01,2.193644942444136348e+01,1.249748059878653450e+01,1.590141538530345788e-01
2.441406250000000000e-01,2.954873791454016896e+01,3.002181163362911320e+01,6.654440075432696555e-02
2.586579820213124603e-01,2.840330444913630004e+01,2.631268838172989533e+01,7.589933252887925974e-02
2.740385860130304385e-01,2.531827425510381602e+01,1.844648881059657342e+01,1.081040196120135605e-01
2.903337683112112155e-01,2.571789852927366837e+01,1.931500951676762412e+01,1.032696048876076689e-01
3.075979125719906504e-01,2.210637442340748748e+01,1.274438025816800213e+01,1.559716123869907822e-01
3.258886362719809471e-01,2.387340914903445821e+01,1.561961976484655779e+01,1.275214024961802695e-01
3.452669830012439212e-01,2.048852915097793925e+01,1.057855765911292245e+01,1.873871840313238446e-01
3.657976261905962478e-01,2.351501767273224175e+01,1.498824845520960203e+01,1.328465182074389239e-01
3.875490849531735837e-01,2.235801837342805243e+01,1.311900563694987021e+01,1.515699126912133932e-01
4.105939527606027872e-01,2.254000196677873191e+01,1.339676990774009546e+01,1.484625063033456482e-01
4.350091397169627561e-01,2.288542801125699100e+01,1.394027690611642889e+01,1.427346816562546361e-01
4.608761292391079234e-01,2.016049531598810063e+01,1.018649475251454994e+01,1.944643023447744368e-01
